Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7
0,-1.27,-4.41,-1.27,-1.27,-1.27,-1.27,-1.27
1,1.79,0.0,-5.54,-2.06,-11.23,-8.37,0.0
2,0.0,0.0,-9.82,-5.54,-15.5,-12.67,-2.69
3,0.0,-4.95,0.0,-6.96,-15.5,-15.5,0.0
4,0.0,1.71,-11.23,-9.82,0.0,0.0,0.0
5,0.0,-4.1,-11.23,0.0,0.0,0.0,-2.69
6,0.0,0.0,-12.67,0.0,-16.94,-15.5,-5.54
7,4.44,-7.35,-12.84,-11.23,0.0,0.0,0.0
α,0.248,0.560,1.471e-06,0.107,9.410e-07,1.513e-06,0.133
C,-1.291,0.274,1.705e+06,13.553,4.171e+06,2.320e+06,4.487
Effective Modulus,-0.357,0.183,2.735,1.591,4.279,3.826,0.655
Young's Modulus,-2.670,3.341,9.224,6.977,14.080,12.561,3.174
Time (ms),17630,16039,23828,33389,75541,50977,100300
